osmid,x,y
173081105,-79.9309655,36.449739
173081151,-79.6910736,36.3585286
173081414,-79.938012,36.412847
173081429,-79.93915,36.416197
173081443,-79.5956148,36.4019529
173081677,-79.9435388,36.3713778
173081748,-79.548353,36.453985
173081762,-79.5431333,36.4552593
173081781,-79.709141,36.479348
173081788,-79.7097283,36.4817743
173081816,-79.712885,36.485825
173081825,-80.007689,36.391396
173081840,-80.0102213,36.3880969
173082011,-79.785971,36.494136
173082103,-79.572845,36.434406
173082147,-79.5738881,36.4340548
173082173,-79.904596,36.396994
173082187,-79.905775,36.394254
173082324,-79.7260713,36.4248372
173082359,-79.74541,36.426874
173082434,-79.9482299,36.268898
173082442,-79.654343,36.292974
173082455,-79.653738,36.290043
173082604,-79.65766,36.522059
173082614,-79.657891,36.521653
173082765,-79.5709923,36.4348251
173082768,-79.5710839,36.4350701
173082989,-79.717959,36.292818
173083026,-79.740842,36.313469
173083031,-79.739812,36.31475
173083042,-79.551898,36.436743
173083077,-79.8574643,36.3057742
173083251,-79.9875102,36.5021814
173083264,-79.7431564,36.3556202
173083273,-79.744731,36.356857
173083649,-79.843288,36.289809
173083666,-79.843772,36.286107
173083778,-79.980805,36.418962
173084260,-79.7760633,36.3455971
173084271,-79.776227,36.3439625
173084344,-79.8615501,36.4803634
173084351,-79.8611104,36.4810656
173084561,-79.762456,36.329532
173084693,-79.967708,36.420304
173084831,-79.852157,36.3785
173084947,-79.598991,36.400756
173085093,-79.6780866,36.320757
173085098,-79.6788735,36.319028
173085117,-79.7104882,36.4826755
173085125,-79.706436,36.481287
173085135,-79.706889,36.482245
173085453,-79.5933738,36.3172425
173085475,-79.5975468,36.3141186
173085498,-79.597942,36.400116
173085542,-79.595879,36.401983
173085545,-79.595668,36.401884
173085582,-79.659403,36.254813
173085701,-79.5658209,36.3588524
173085728,-79.566663,36.365701
173085735,-79.56478,36.3543117
173085739,-79.567485,36.3547446
173085810,-79.5431624,36.3869824
173085813,-79.5416862,36.3870041
173085885,-79.5484836,36.5153871
173086669,-79.958939,36.421951
173086788,-79.6268503,36.4014775
173087065,-79.652145,36.269916
173087077,-79.651953,36.2694526
173087109,-79.7450068,36.5071338
173087121,-79.7461282,36.5072744
173087134,-79.7455197,36.5088216
173087153,-79.5434555,36.3959419
173087357,-79.589143,36.388155
173087372,-79.595194,36.391032
173087439,-79.640901,36.379938
173087444,-79.641548,36.380753
173087452,-79.7485794,36.3539148
173087499,-79.5713717,36.457563
173087549,-79.574927,36.458248
173087558,-79.661338,36.274331
173087589,-79.660136,36.276121
173087654,-79.653118,36.275338
173087665,-79.558797,36.45168
173087697,-79.554213,36.45198
173087706,-79.9391177,36.3447899
173087725,-79.944223,36.3448124
173087727,-79.9444286,36.3448871
173087776,-79.950711,36.348153
173087892,-79.957319,36.360481
173087919,-79.85297,36.291082
173087943,-79.84833,36.29304
173087950,-79.8462459,36.2943978
